from_section	to_section	pattern	occurrences	paper_count	top_papers	exemplar_quotes
abstract	introduction	Solution-processed metal halide perovskites, known for their superior luminescence properties such as pure and tuneable light emission, high photoluminescence quantum yields (PLQYs), and favourable charge transport properties, have emerged as promising materials for energy-efficient light-emitting diodes (LEDs) that potentially offer high brightness at low driving voltages, thus achieving high power conversion efficiencies (PCE).	1	1	10.1038/s41467-025-56557-8	Solution-processed metal halide perovskites, known for their superior luminescence properties such as pure and tuneable light emission, high photoluminescence quantum yields (PLQYs), and favourable charge transport properties, have emerged as promising materials for energy-efficient light-emitting diodes (LEDs) that potentially offer high brightness at low driving voltages, thus achieving high power conversion efficiencies (PCE).
introduction	results	[Interfacial amidation reaction for perovskite films]	1	1	10.1038/s41467-025-56557-8	[Interfacial amidation reaction for perovskite films]
results	discussion	In summary, we introduced a method to significantly enhance the performance of green perovskite LEDs through the optimization of interfacial chemistry and device architecture.	1	1	10.1038/s41467-025-56557-8	In summary, we introduced a method to significantly enhance the performance of green perovskite LEDs through the optimization of interfacial chemistry and device architecture.
discussion	methods	Zinc acetate dihydrate (#%), tetramethylammonium hydroxide (TMAH, #%), lithium hydroxide (LiOH, #%), lead bromide (PbBr₂, #%), and #-ethylhexane-#-thiol (#%) were purchased from Sigma-Aldrich.	1	1	10.1038/s41467-025-56557-8	Zinc acetate dihydrate (98%), tetramethylammonium hydroxide (TMAH, 98%), lithium hydroxide (LiOH, 98%), lead bromide (PbBr₂, 99.999%), and 2-ethylhexane-1-thiol (97%) were purchased from Sigma-Aldrich.
abstract	introduction	For next-generation high-resolution displays, metal halide perovskites light-emitting diodes (PeLEDs) are particularly appealing because they combine facile spectral tunability, high color saturation and low-temperature solution processability.	1	1	10.1038/s41467-026-72733-w	For next-generation high-resolution displays, metal halide perovskites light-emitting diodes (PeLEDs) are particularly appealing because they combine facile spectral tunability, high color saturation and low-temperature solution processability.
introduction	results	[Performance of the devices]	1	1	10.1038/s41467-026-72733-w	[Performance of the devices]
results	discussion	To elucidate how molecular structure governs the crystallization of quasi-#D perovskite films, we introduced four analogous sulfonamide based additives with systematically varied dipole moments and steric profiles (Fig. #a).	1	1	10.1038/s41467-026-72733-w	To elucidate how molecular structure governs the crystallization of quasi-2D perovskite films, we introduced four analogous sulfonamide based additives with systematically varied dipole moments and steric profiles (Fig. 5a).
discussion	methods	#-Phenoxyethylamine (POEA), #-(trifluoromethyl)benzenesulfonamide (CF#-BSA), PbI₂, PbBr₂, CsI, and N,N-dimethylformamide (DMF, anhydrous, #%) were purchased from Sigma-Aldrich.	1	1	10.1038/s41467-026-72733-w	2-Phenoxyethylamine (POEA), 4-(trifluoromethyl)benzenesulfonamide (CF3-BSA), PbI₂, PbBr₂, CsI, and N,N-dimethylformamide (DMF, anhydrous, 99.9%) were purchased from Sigma-Aldrich.
abstract	introduction	Assembly of colloidal nanocrystal quantum dots (hereafter referred to simply as nanocrystals NCs) into thin films is envisaged as a means to achieve next-generation solution-processed semiconductors with electronic properties (e.g. band gaps band-edge positions mobilities and free carrier densities) that can be defined to match specific application requirements.	1	1	10.1038/s41467-020-16560-7	Assembly of colloidal nanocrystal quantum dots (hereafter referred to simply as nanocrystals NCs) into thin films is envisaged as a means to achieve next-generation solution-processed semiconductors with electronic properties (e.g. band gaps band-edge positions mobilities and free carrier densities) that can be defined to match specific application requirements.
introduction	results	Polaron formation and reorganization energy	1	1	10.1038/s41467-020-16560-7	Polaron formation and reorganization energy
results	discussion	This predictive multiscale model can be used to systematically design next-generation NC-based semiconductors.	1	1	10.1038/s41467-020-16560-7	This predictive multiscale model can be used to systematically design next-generation NC-based semiconductors.
discussion	methods	Atomistic model construction for DFT calculations	1	1	10.1038/s41467-020-16560-7	Atomistic model construction for DFT calculations
abstract	introduction	Molecular spin-triplet states (hereafter called “triplets”) have been an important subject of research in photochemistry for many decades.	1	1	10.1038/s41467-019-13951-3	Molecular spin-triplet states (hereafter called “triplets”) have been an important subject of research in photochemistry for many decades.
introduction	results	System design and energetics analysis	1	1	10.1038/s41467-019-13951-3	System design and energetics analysis
results	discussion	To summarize in order to clarify the mechanism of triplet energy transfer (TET) across the semiconductor NC/organic interface we constructed model systems comprising highly emissive lead halide perovskite NCs as the triplet donor and PAHs of either tetracene or naphthalene as the acceptors and studied interfacial dynamics using a combination of ultrafast transient absorption and time-resolved photoluminescence measurements.	1	1	10.1038/s41467-019-13951-3	To summarize in order to clarify the mechanism of triplet energy transfer (TET) across the semiconductor NC/organic interface we constructed model systems comprising highly emissive lead halide perovskite NCs as the triplet donor and PAHs of either tetracene or naphthalene as the acceptors and studied interfacial dynamics using a combination of ultrafast transient absorption and time-resolved photoluminescence measurements.
discussion	methods	The following reagents were used to prepare perovskite nanocrystal-polycyclic aromatic hydrocarbon (NC-PAH) complexes: cesium carbonate (Cs₂CO₃, Sigma-Aldrich #%) lead(II) bromide (PbBr₂, Alfa Aesar #+%) zinc bromide (ZnBr₂, Alfa Aesar #%) oleic acid (OA Sigma-Aldrich #%) oleylamine (OAm Acros Organics #–#%) #-octadecene (ODE Sigma-Aldrich #%) #-naphthalene carboxylic acid (NCA Alfa Aesar #%); #-tetracene carboxylic acid (TCA) was synthesized as described previously.	1	1	10.1038/s41467-019-13951-3	The following reagents were used to prepare perovskite nanocrystal-polycyclic aromatic hydrocarbon (NC-PAH) complexes: cesium carbonate (Cs₂CO₃, Sigma-Aldrich 99.9%) lead(II) bromide (PbBr₂, Alfa Aesar 98+%) zinc bromide (ZnBr₂, Alfa Aesar 99.9%) oleic acid (OA Sigma-Aldrich 90%) oleylamine (OAm Acros Organics 80–90%) 1-octadecene (ODE Sigma-Aldrich 90%) 1-naphthalene carboxylic acid (NCA Alfa Aesar 98%); 5-tetracene carboxylic acid (TCA) was synthesized as described previously.
abstract	introduction	The past decade has witnessed the fast development of quantum-dot (QD) light-emitting diodes (QLEDs) which are considered to be the ideal candidates for next generation displays because they are self-emitting and have the advantages of high color saturation high efficiency and low cost processibility.	1	1	10.1038/s41467-022-28037-w	The past decade has witnessed the fast development of quantum-dot (QD) light-emitting diodes (QLEDs) which are considered to be the ideal candidates for next generation displays because they are self-emitting and have the advantages of high color saturation high efficiency and low cost processibility.
introduction	results	The effect of thermal energy on the EL characteristics of the QLEDs (with a regular structure of glass/ITO/PEDOT: PSS/TFB/QD/ZnMgO/Al) was investigated by varying the temperature during measurement.	1	1	10.1038/s41467-022-28037-w	The effect of thermal energy on the EL characteristics of the QLEDs (with a regular structure of glass/ITO/PEDOT: PSS/TFB/QD/ZnMgO/Al) was investigated by varying the temperature during measurement.
results	discussion	In summary we address a fundamental question of how the holes are injected into the QDs at sub-bandgap bias that results in the up-conversion EL.	1	1	10.1038/s41467-022-28037-w	In summary we address a fundamental question of how the holes are injected into the QDs at sub-bandgap bias that results in the up-conversion EL.
abstract	introduction	Assembling colloidal quantum dots (CQD) into coherent “single-crystal” superstructure solids is a major scientific challenge in nanoscience and nanotechnology.	1	1	10.1038/s41467-023-38216-y	Assembling colloidal quantum dots (CQD) into coherent “single-crystal” superstructure solids is a major scientific challenge in nanoscience and nanotechnology.
introduction	results	Epitaxially-connected PbS QD assemblies	1	1	10.1038/s41467-023-38216-y	Epitaxially-connected PbS QD assemblies
results	discussion	The most striking difference in the electron transport properties between the EDT-bridged PbS QD assemblies and the epitaxially-connected QD-SLs is the size dependency of the electron mobility values (Fig. #d).	1	1	10.1038/s41467-023-38216-y	The most striking difference in the electron transport properties between the EDT-bridged PbS QD assemblies and the epitaxially-connected QD-SLs is the size dependency of the electron mobility values (Fig. 3d).
discussion	methods	After synthesis protocol customisation high-quality lead sulphide (PbS) QDs with various diameters were tested and procured from Quantum Solutions (www.quantum-solutions.com).	1	1	10.1038/s41467-023-38216-y	After synthesis protocol customisation high-quality lead sulphide (PbS) QDs with various diameters were tested and procured from Quantum Solutions (www.quantum-solutions.com).
abstract	introduction	The transport of excitation energy through networks of interacting particles is a fundamental process that underlies various crucial phenomena ranging from the efficient capture of light energy in photosynthesis to the transmission of information between qubits.	1	1	10.1038/s41467-024-55812-8	The transport of excitation energy through networks of interacting particles is a fundamental process that underlies various crucial phenomena ranging from the efficient capture of light energy in photosynthesis to the transmission of information between qubits.
introduction	results	NCSLs as a platform to investigate quantum transport	1	1	10.1038/s41467-024-55812-8	NCSLs as a platform to investigate quantum transport
results	discussion	By imaging the spatial distribution of excitons with high temporal resolution over a broad temperature range we have successfully elucidated quantum transport phenomena beyond classical exciton diffusion in networks of interacting CsPbBr₃ NCs.	1	1	10.1038/s41467-024-55812-8	By imaging the spatial distribution of excitons with high temporal resolution over a broad temperature range we have successfully elucidated quantum transport phenomena beyond classical exciton diffusion in networks of interacting CsPbBr₃ NCs.
discussion	methods	Lead (II) bromide (# + % extra pure) was obtained from ACROS Organics while anhydrous n-hexanes were purchased from Thomas Scientific.	1	1	10.1038/s41467-024-55812-8	Lead (II) bromide (98 + % extra pure) was obtained from ACROS Organics while anhydrous n-hexanes were purchased from Thomas Scientific.
abstract	introduction	All modern technology is unthinkable without scientists’ ability to arrange atoms into specific molecules/matter with precise control over chemical composition geometry and as a result electronic structure.	1	1	10.1038/s41467-026-70555-4	All modern technology is unthinkable without scientists’ ability to arrange atoms into specific molecules/matter with precise control over chemical composition geometry and as a result electronic structure.
introduction	results	Synthesis of colloidal molecule-like assemblies	1	1	10.1038/s41467-026-70555-4	Synthesis of colloidal molecule-like assemblies
results	methods	Oleylamine (OLAm #%) #-octadecene (ODE #%) oleic acid (OLA #%) zinc acetate (ZnAc₂, #%) manganese acetate (MnAc₂, #%) and #-octanehiol (#%) were purchased from Thermo Scientific.	1	1	10.1038/s41467-026-70555-4	Oleylamine (OLAm 70%) 1-octadecene (ODE 90%) oleic acid (OLA 90%) zinc acetate (ZnAc₂, 99.99%) manganese acetate (MnAc₂, 99%) and 1-octanehiol (98%) were purchased from Thermo Scientific.
abstract	introduction	Quantum dot light-emitting diodes (QLEDs) that electrically excite quantum dots (QDs) can fully exploit their unique properties such as narrow emission spectra size-controlled emission wavelength high quantum yield and inherent stability.	1	1	10.1038/s41467-018-04986-z	Quantum dot light-emitting diodes (QLEDs) that electrically excite quantum dots (QDs) can fully exploit their unique properties such as narrow emission spectra size-controlled emission wavelength high quantum yield and inherent stability.
introduction	results	Characterization of quantum dots	1	1	10.1038/s41467-018-04986-z	Characterization of quantum dots
results	discussion	The present work demonstrates highly stable QLEDs whose operation lifetime meets the requirement of display industry.	1	1	10.1038/s41467-018-04986-z	The present work demonstrates highly stable QLEDs whose operation lifetime meets the requirement of display industry.
abstract	introduction	Lead halide perovskites possess photoluminescence quantum yields (PLQYs) as high as #% and narrow full width at half maximum (FWHM) of around # nm which makes them high-profile candidates for high-quality lightings and displays.	1	1	10.1038/s41467-020-17633-3	Lead halide perovskites possess photoluminescence quantum yields (PLQYs) as high as 100% and narrow full width at half maximum (FWHM) of around 20 nm which makes them high-profile candidates for high-quality lightings and displays.
introduction	results	Bilateral passivation strategy and theoretical model	1	1	10.1038/s41467-020-17633-3	Bilateral passivation strategy and theoretical model
results	discussion	In summary the bilateral passivation strategy demonstrated in this work results in effectively controlling the surface states of QD films.	1	1	10.1038/s41467-020-17633-3	In summary the bilateral passivation strategy demonstrated in this work results in effectively controlling the surface states of QD films.
discussion	methods	PbBr₂ (#%) Cs₂CO₃ (#%) oleic acid (OA AR) oleylamine (OAm AR) were purchased from Macklin Inc.	1	1	10.1038/s41467-020-17633-3	PbBr₂ (99.99%) Cs₂CO₃ (99.9%) oleic acid (OA AR) oleylamine (OAm AR) were purchased from Macklin Inc.
abstract	introduction	Recently the demand for the next-generation memory devices featuring high switching speed large storage capacity and low power consumption has considerably grown as the internet of things (IoT) and artificial intelligence (AI) technologies continue to dominate for a vast variety of consumer products used in day-to-day life.	1	1	10.1038/s41467-021-24762-w	Recently the demand for the next-generation memory devices featuring high switching speed large storage capacity and low power consumption has considerably grown as the internet of things (IoT) and artificial intelligence (AI) technologies continue to dominate for a vast variety of consumer products used in day-to-day life.
introduction	results	CsPbBr₃ QD-based LEM device structure and QD properties	1	1	10.1038/s41467-021-24762-w	CsPbBr₃ QD-based LEM device structure and QD properties
results	discussion	In conclusion a fast all-perovskite-based LEM is demonstrated for the first time by employing the outstanding electrical and optical properties of the CsPbBr₃ QDs in a simple Ag/PMMA/CsPbBr₃ QDs/ITO structure.	1	1	10.1038/s41467-021-24762-w	In conclusion a fast all-perovskite-based LEM is demonstrated for the first time by employing the outstanding electrical and optical properties of the CsPbBr₃ QDs in a simple Ag/PMMA/CsPbBr₃ QDs/ITO structure.
discussion	methods	Synthesis of CsPbBr₃ QDs	1	1	10.1038/s41467-021-24762-w	Synthesis of CsPbBr₃ QDs
abstract	introduction	Metal halide perovskites (MHPs) have proven to be propitious candidates for next-generation solid-state lighting and display technology owing to their excellent properties such as high photoluminescence quantum yield (PLQY) tunable emission wavelength narrow emission linewidth low trap-state density high charge carrier mobility solution feasibility and easy-avaliability.	1	1	10.1038/s41467-023-40150-y	Metal halide perovskites (MHPs) have proven to be propitious candidates for next-generation solid-state lighting and display technology owing to their excellent properties such as high photoluminescence quantum yield (PLQY) tunable emission wavelength narrow emission linewidth low trap-state density high charge carrier mobility solution feasibility and easy-avaliability.
introduction	results	The perovskite precursor solution is prepared by dissolving the mixture of RbBr CsBr PbBr₂ and PbX₂ (X = Cl or I) in DMSO with different molar ratios.	1	1	10.1038/s41467-023-40150-y	The perovskite precursor solution is prepared by dissolving the mixture of RbBr CsBr PbBr₂ and PbX₂ (X = Cl or I) in DMSO with different molar ratios.
results	discussion	In conclusion we have demonstrated a generic organic ligand-free and antisolvent-free solution method to grow crystalline all-inorganic PeQW arrays in nanoporous PAM templates with excellent uniformity.	1	1	10.1038/s41467-023-40150-y	In conclusion we have demonstrated a generic organic ligand-free and antisolvent-free solution method to grow crystalline all-inorganic PeQW arrays in nanoporous PAM templates with excellent uniformity.
discussion	methods	Cesium bromide (CsBr #%) rubidium bromide (RbBr #%) lead bromide (PbBr₂, #%) lead chloride (PbCl₂, #%) lead iodide (PbI₂, #%) molybdenum trioxide (MoO₃, ≥#%) #,#,#-tris(bromomethyl)−#,#,#-triethylbenzene (TBTB #%) chlorobenzene (C₆H₅Cl #%) and dimethyl sulfoxide (DMSO ≥#%) were purchased from Sigma Aldrich. #,#-Bis[(di-#-tolylamino)phenyl]cyclohexane (TAPC >#%) and #,#,#,#,#,#-Hexaazatriphenylenehexacarbonitrile (HAT-CN >#%) were purchased from Ossila.	1	1	10.1038/s41467-023-40150-y	Cesium bromide (CsBr 99.999%) rubidium bromide (RbBr 99.6%) lead bromide (PbBr₂, 99.999%) lead chloride (PbCl₂, 99.999%) lead iodide (PbI₂, 99.999%) molybdenum trioxide (MoO₃, ≥99.5%) 1,3,5-tris(bromomethyl)−2,4,6-triethylbenzene (TBTB 97%) chlorobenzene (C₆H₅Cl 99.8%) and dimethyl sulfoxide (DMSO ≥99.9%) were purchased from Sigma Aldrich. 1,1-Bis[(di-4-tolylamino)phenyl]cyclohexane (TAPC >99.5%) and 1,4,5,8,9,11-Hexaazatriphenylenehexacarbonitrile (HAT-CN >99%) were purchased from Ossila.
abstract	introduction	Perovskite light-emitting diodes (PeLEDs) are emerging as promising candidates in display technology addressing the demand for electroluminescence with high color purity low power consumption and cost-effective fabrication.	1	1	10.1038/s41467-024-50634-0	Perovskite light-emitting diodes (PeLEDs) are emerging as promising candidates in display technology addressing the demand for electroluminescence with high color purity low power consumption and cost-effective fabrication.
introduction	results	Surface regulation of CsPb(Br/I)₃ nanocrystals	1	1	10.1038/s41467-024-50634-0	Surface regulation of CsPb(Br/I)₃ nanocrystals
results	methods	Cesium carbonate (Cs₂CO₃, #%) and lead (II) iodide (PbI₂, #%) were purchased from Sigma Aldrich.	1	1	10.1038/s41467-024-50634-0	Cesium carbonate (Cs₂CO₃, 99.95%) and lead (II) iodide (PbI₂, 99.999%) were purchased from Sigma Aldrich.
abstract	introduction	The ease of compositional engineering for metal halide perovskite (MHPs) materials results in a wide spectrum of opto-electrical properties facilitating their application in various research fields such as solar cells photodetectors light-emitting diodes and so forth.	1	1	10.1038/s41467-025-61085-6	The ease of compositional engineering for metal halide perovskite (MHPs) materials results in a wide spectrum of opto-electrical properties facilitating their application in various research fields such as solar cells photodetectors light-emitting diodes and so forth.
introduction	results	Substituting Cs with alkali metals at A-site in perovskite	1	1	10.1038/s41467-025-61085-6	Substituting Cs with alkali metals at A-site in perovskite
results	discussion	In conclusion we reveal concrete evidence including multiple experimental techniques and theoretical calculations on that Rb and K cations can reside at A-site in the perovskite lattice of all-inorganic PeQWs arrays preserving the order of perovskite lattice and avoiding detrimental effects caused by Anderson localization.	1	1	10.1038/s41467-025-61085-6	In conclusion we reveal concrete evidence including multiple experimental techniques and theoretical calculations on that Rb and K cations can reside at A-site in the perovskite lattice of all-inorganic PeQWs arrays preserving the order of perovskite lattice and avoiding detrimental effects caused by Anderson localization.
discussion	methods	Cesium bromide (CsBr #%) rubidium bromide (RbBr #%) potassium bromide (KBr ≥#%) lead bromide (PbBr₂, #%) lead chloride (PbCl₂, #%) #,#,#-tris (bromomethyl) benzene (TBB #%) chlorobenzene (C₆H₅Cl #%) and dimethyl sulfoxide (DMSO ≥#%) were purchased from Sigma Aldrich. #,#-Bis[(di-#-tolylamino)phenyl]cyclohexane (TAPC >#%) and #,#,#,#,#,#-Hexaazatriphenylenehexacarbonitrile (HAT-CN >#%) were purchased from Ossila.	1	1	10.1038/s41467-025-61085-6	Cesium bromide (CsBr 99.999%) rubidium bromide (RbBr 99.6%) potassium bromide (KBr ≥99%) lead bromide (PbBr₂, 99.999%) lead chloride (PbCl₂, 99.999%) 1,3,5-tris (bromomethyl) benzene (TBB 97%) chlorobenzene (C₆H₅Cl 99.8%) and dimethyl sulfoxide (DMSO ≥99.9%) were purchased from Sigma Aldrich. 1,1-Bis[(di-4-tolylamino)phenyl]cyclohexane (TAPC >99.5%) and 1,4,5,8,9,11-Hexaazatriphenylenehexacarbonitrile (HAT-CN >99%) were purchased from Ossila.
abstract	introduction	Lead halide perovskite quantum dots (QDs) have emerged as a promising material with a wide range of luminescent colors narrow-band spectral purity convenient synthesis methods and excellent high-luminescence characteristics showing tremendous potential for applications in high-performance optoelectronic devices such as solar cells detectors lasers especially in light-emitting diodes.	1	1	10.1038/s41377-025-01959-y	Lead halide perovskite quantum dots (QDs) have emerged as a promising material with a wide range of luminescent colors narrow-band spectral purity convenient synthesis methods and excellent high-luminescence characteristics showing tremendous potential for applications in high-performance optoelectronic devices such as solar cells detectors lasers especially in light-emitting diodes.
introduction	results	The effect of [BMIM]OTF on the crystallization growth of QDs was first investigated.	1	1	10.1038/s41377-025-01959-y	The effect of [BMIM]OTF on the crystallization growth of QDs was first investigated.
results	discussion	In conclusion we have provided a promising strategy for improving the EL response of devices by adding ionic liquid [BMIM]OTF and reducing light-emitting unit area for QDs with ultra-high resolution PeLEDs successfully achieved nanosecond response time.	1	1	10.1038/s41377-025-01959-y	In conclusion we have provided a promising strategy for improving the EL response of devices by adding ionic liquid [BMIM]OTF and reducing light-emitting unit area for QDs with ultra-high resolution PeLEDs successfully achieved nanosecond response time.
discussion	methods	Bromide lead (#%) cesium carbonate (#%) octanoic acid (OTAC) (#%) formamidine acetate (#%) N N-Dimethyl dodecyl amine bromide (DDAB) (#%) N N NTrioctylamine bromide (TOAB) (#%) and #-Butyltrimethylimidazolium trifluoromethanesulfonic acid ([BMIM]OTF) (#%) were purchased from Aladdin.	1	1	10.1038/s41377-025-01959-y	Bromide lead (99.999%) cesium carbonate (99.9%) octanoic acid (OTAC) (99%) formamidine acetate (99%) N N-Dimethyl dodecyl amine bromide (DDAB) (98%) N N NTrioctylamine bromide (TOAB) (98%) and 1-Butyltrimethylimidazolium trifluoromethanesulfonic acid ([BMIM]OTF) (97%) were purchased from Aladdin.
abstract	introduction	Due to their superior optoelectronic properties, lead halide perovskites (APbX# where A = CH#NH#+, CH(NH#)#+, Cs+ and X = Cl–, Br–, I–), have demonstrated their promise in applications such as solar cells, light-emitting diodes, lasers, photodetectors, memristors, and single photon sources.	1	1	10.1038/s41467-023-39488-0	Due to their superior optoelectronic properties, lead halide perovskites (APbX3 where A = CH3NH3+, CH(NH2)2+, Cs+ and X = Cl–, Br–, I–), have demonstrated their promise in applications such as solar cells, light-emitting diodes, lasers, photodetectors, memristors, and single photon sources.
introduction	results	Scalable and deterministic on-site growth of halide perovskite nanocrystals	1	1	10.1038/s41467-023-39488-0	Scalable and deterministic on-site growth of halide perovskite nanocrystals
results	discussion	In conclusion, we have demonstrated a high-throughput and scalable approach for on-site synthesis of perovskite nanocrystals with controlled size and deterministic spatial arrangements.	1	1	10.1038/s41467-023-39488-0	In conclusion, we have demonstrated a high-throughput and scalable approach for on-site synthesis of perovskite nanocrystals with controlled size and deterministic spatial arrangements.
discussion	methods	The two template fabrication schemes depicted in Supplementary Fig. # are described here.	1	1	10.1038/s41467-023-39488-0	The two template fabrication schemes depicted in Supplementary Fig. 1 are described here.
abstract	introduction	Semiconductor nanocrystals possess unique size-dependent properties for their use in widespread applications, such as light-emitting diodes, solar cells, photocatalysis, and biomedical imaging.	1	1	10.1038/s41467-024-53221-5	Semiconductor nanocrystals possess unique size-dependent properties for their use in widespread applications, such as light-emitting diodes, solar cells, photocatalysis, and biomedical imaging.
introduction	results	Through trial and error experiments and, recently, the use of machine learning, we have developed synthesis strategies to obtain anisotropic CsPbBr# nanocrystals with precise control over their dimensions.	1	1	10.1038/s41467-024-53221-5	Through trial and error experiments and, recently, the use of machine learning, we have developed synthesis strategies to obtain anisotropic CsPbBr3 nanocrystals with precise control over their dimensions.
results	discussion	In conclusion, combining in situ optical spectroscopy and X-ray scattering, we reveal the formation mechanism of anisotropic CsPbBr# nanocrystals.	1	1	10.1038/s41467-024-53221-5	In conclusion, combining in situ optical spectroscopy and X-ray scattering, we reveal the formation mechanism of anisotropic CsPbBr3 nanocrystals.
discussion	methods	First, the Cs-oleate precursor was prepared by dissolving Cs#CO# (# mmol, # mg) in oleic acid (# mL) while stirring at # °C for up to three hours until a clear solution was obtained.	1	1	10.1038/s41467-024-53221-5	First, the Cs-oleate precursor was prepared by dissolving Cs2CO3 (0.1 mmol, 32.6 mg) in oleic acid (10 mL) while stirring at 85 °C for up to three hours until a clear solution was obtained.
abstract	introduction	Currently, all-inorganic metal halide ABX# perovskite (where A = Cs; B = Pb, Sn; and X = Cl, Br, I) nanomaterials are considered as next-generation optoelectronic functional materials with great application prospects due to their excellent photophysical properties and low-cost preparation.	1	1	10.1038/s41467-024-45945-1	Currently, all-inorganic metal halide ABX3 perovskite (where A = Cs; B = Pb, Sn; and X = Cl, Br, I) nanomaterials are considered as next-generation optoelectronic functional materials with great application prospects due to their excellent photophysical properties and low-cost preparation.
introduction	results	RT synthesis of CsSnxPb#-xI# perovskite colloidal QDs	1	1	10.1038/s41467-024-45945-1	RT synthesis of CsSnxPb1-xI3 perovskite colloidal QDs
results	discussion	In summary, the bright yellow emission from sub-# nm CsSn#Pb#I# perovskite colloidal QDs was achieved through RT strongly confined spontaneous crystallization strategy without polar solvents in open air, which was attributed to direct radiative recombination corresponding to a wider bandgap derived from strong size confinement.	1	1	10.1038/s41467-024-45945-1	In summary, the bright yellow emission from sub-5 nm CsSn0.09Pb0.91I3 perovskite colloidal QDs was achieved through RT strongly confined spontaneous crystallization strategy without polar solvents in open air, which was attributed to direct radiative recombination corresponding to a wider bandgap derived from strong size confinement.
discussion	methods	Cesium acetate (C#H#CsO#, #%), formamidine acetate (CH#N#·C#H#O#, #%), tin(II) #-ethylhexanoate (C#H#O#Sn, #%), iodotrimethylsilane (C#H#SiI, #%), bromotrimethylsilane (C#H#SiBr, #%), chlorotrimethylsilane (C#H#SiCl, >#%), lead(II) acetate trihydrate (PbC#H#O#·#H#O, #%), OA (C#H#O#, analytical reagent (AR)), oleylamine (C#H#N, OAm, #–#%), n-hexane (C#H#, AR), and ethyl acetate (C#H#O#, #%) were purchased from Aladdin Industrial Corporation, China.	1	1	10.1038/s41467-024-45945-1	Cesium acetate (C2H3CsO2, 99.9%), formamidine acetate (CH4N2·C2H4O2, 99%), tin(II) 2-ethylhexanoate (C16H30O4Sn, 95%), iodotrimethylsilane (C3H9SiI, 97%), bromotrimethylsilane (C3H9SiBr, 98%), chlorotrimethylsilane (C3H9SiCl, >98.0%), lead(II) acetate trihydrate (PbC4H6O4·3H2O, 99.5%), OA (C18H34O2, analytical reagent (AR)), oleylamine (C18H37N, OAm, 80–90%), n-hexane (C6H14, AR), and ethyl acetate (C4H8O2, 99.5%) were purchased from Aladdin Industrial Corporation, China.
abstract	introduction	Metal halide perovskite (MHP) nanocrystals (NCs) have arisen as a highly promising class of semiconducting materials for a myriad of photonic applications encompassing displays, solar cells, light-emitting diodes, photocatalysis, and quantum information science applications.	1	1	10.1038/s41467-025-63209-4	Metal halide perovskite (MHP) nanocrystals (NCs) have arisen as a highly promising class of semiconducting materials for a myriad of photonic applications encompassing displays, solar cells, light-emitting diodes, photocatalysis, and quantum information science applications.
introduction	results	The multi-robotic NC synthesis and characterization platform (i.e., Rainbow's hardware, Fig. #), consists of four robots, including a liquid handling robot tasked with NC precursor preparation, multi-step NC synthesis, and other liquid handling tasks (e.g., NC sampling for characterization, waste collection/management); a characterization robot that acquires the UV-Vis absorption and emission spectra of the automatically synthesized NCs; a robotic plate feeder for labware replenishment; and a robotic arm for connecting functionalities of the other three robots by facilitating transferring samples and labware between them.	1	1	10.1038/s41467-025-63209-4	The multi-robotic NC synthesis and characterization platform (i.e., Rainbow's hardware, Fig. 1), consists of four robots, including a liquid handling robot tasked with NC precursor preparation, multi-step NC synthesis, and other liquid handling tasks (e.g., NC sampling for characterization, waste collection/management); a characterization robot that acquires the UV-Vis absorption and emission spectra of the automatically synthesized NCs; a robotic plate feeder for labware replenishment; and a robotic arm for connecting functionalities of the other three robots by facilitating transferring samples and labware between them.
results	discussion	In this work, we developed Rainbow, an intelligent multi-robot SDL, to autonomously explore the experimental Pareto-Front of semiconductor NC properties for any user-defined target EP.	1	1	10.1038/s41467-025-63209-4	In this work, we developed Rainbow, an intelligent multi-robot SDL, to autonomously explore the experimental Pareto-Front of semiconductor NC properties for any user-defined target EP.
discussion	methods	o-xylene (Thermo Fisher, #%), lead acetate trihydrate (Thermo Fisher, # + %), cesium carbonate (Thermo Fisher, #%), didodecyldimethylammonium bromide (DDAB, Thermo Fisher, #%), butyric acid (C#, Thermo Fisher, # + %), hexanoic acid (C#, Thermo Fisher, #%), heptanoic acid (C#, Thermo Fisher, # + %), octanoic acid (C#, Thermo Fisher, #%), #-hexyldecanoic acid (C#, TCI, # + %), oleic acid (C#, Thermo Fisher, tech.#%), zinc iodide (ZnI#, Thermo Fisher, ultra dry, # + %), zinc chloride (ZnCl#, Thermo Fisher, ultra dry, # + %), oleylamine (Sigma, tech.#%), and #-dodecanethiol (DSH, Thermo Fisher, #%) were used as received.	1	1	10.1038/s41467-025-63209-4	o-xylene (Thermo Fisher, 99%), lead acetate trihydrate (Thermo Fisher, 99 + %), cesium carbonate (Thermo Fisher, 99%), didodecyldimethylammonium bromide (DDAB, Thermo Fisher, 99%), butyric acid (C4, Thermo Fisher, 99 + %), hexanoic acid (C6, Thermo Fisher, 99%), heptanoic acid (C7, Thermo Fisher, 98 + %), octanoic acid (C8, Thermo Fisher, 99%), 2-hexyldecanoic acid (C16, TCI, 98.0 + %), oleic acid (C18, Thermo Fisher, tech.90%), zinc iodide (ZnI2, Thermo Fisher, ultra dry, 99 + %), zinc chloride (ZnCl2, Thermo Fisher, ultra dry, 99 + %), oleylamine (Sigma, tech.70%), and 1-dodecanethiol (DSH, Thermo Fisher, 98%) were used as received.
