section	opener_3gram	total_occurrences	paper_count	top_papers
methods	then the clear	2	2	10.1038/s41467-020-20555-9;10.1038/s41563-025-02123-y
methods	the spiro-ometad solution	2	2	10.1038/s41467-018-07099-9;10.1038/s41467-026-69198-2
results	these are expected	2	2	10.1038/s41586-023-05855-6;qdp_2012_lifetime-blinking-nonblinking-qd
results	therefore we performed	2	2	10.1038/s41467-025-58047-3;10.1038/s41928-024-01205-0
results	the highest plqy	2	2	10.1038/s41467-018-05909-8;10.1038/s43246-026-01136-7
discussion	compared to conventional	2	2	10.1038/s41377-025-02019-1;10.1038/s41467-024-47891-4
results	what’s more the	2	1	10.1038/s41377-022-00855-z
results	the low binding	2	2	10.1038/s41467-024-50893-x;10.1038/s41467-026-71292-4
methods	photoluminescence spectra were	2	2	10.1038/s41467-023-39531-0;10.1038/s41566-024-01458-3
results	the gradient distribution	2	1	10.1038/s41467-025-56001-x
results	it is a	2	2	10.1038/s41467-020-16855-9;10.1038/s41467-024-50634-0
results	since the charge	2	2	10.1038/s41467-020-16560-7;10.1038/s41467-025-56815-9
methods	the monochromatic parallel	2	2	10.1038/s41467-023-35954-x;10.1038/s41467-024-44894-z
results	however the formation	2	2	10.1038/s41467-018-06294-y;10.1038/s41467-020-16560-7
abstract	however the development	2	2	10.1038/s41377-022-00855-z;10.1038/s41928-024-01205-0
results	detailed colour and	2	1	10.1038/s41467-026-74151-4
results	we demonstrate the	2	2	10.1038/s41467-023-41041-y;10.1038/s41467-024-49791-z
results	as a direction	2	1	10.1038/s41467-025-57472-8
abstract	this study represents	2	2	10.1038/s41467-025-57746-1;10.1038/s41586-024-07360-w
discussion	for a more	2	2	10.1038/s41467-025-58047-3;10.1038/s41467-025-61511-9
methods	in the second	2	2	10.1038/s41467-026-69200-x;10.1038/s41467-026-73911-6
methods	the total energy	2	2	10.1038/s41467-023-40746-4;10.1038/s41563-025-02123-y
results	figure 4h shows	2	2	10.1038/s41467-020-16659-x;10.1038/s41467-024-49574-6
results	generally speaking the	2	2	10.1038/s41377-026-02231-7;10.1038/s41467-018-06294-y
results	accompanied by the	2	2	10.1038/s41467-024-52208-6;10.1038/s41467-026-72625-z
methods	ito glasses were	2	2	10.1038/s41377-022-00855-z;10.1038/s41467-026-72115-2
methods	the x-ray beam	2	1	10.1038/s41467-023-38216-y
results	the inset in	2	2	10.1038/s41377-022-01036-8;10.1038/s41467-023-41868-5
introduction	for practical applications	2	2	10.1038/s41467-017-01379-6;10.1038/s41467-026-72625-z
introduction	furthermore utilizing the	2	2	10.1038/s41467-024-52401-7;10.1038/s41467-025-56815-9
methods	all other steps	2	1	10.1038/s41467-026-70555-4
results	this allows for	2	2	10.1038/s41467-020-16652-4;10.1038/s41467-022-32010-y
introduction	the 1.55 ev	2	1	10.1038/s41467-026-73911-6
results	as well known	2	2	10.1038/s41377-024-01500-7;10.1038/s41467-021-24931-x
methods	the pl and	2	2	10.1038/s41467-024-49838-1;10.1038/s41467-026-69198-2
results	this demonstrates the	2	2	10.1038/s41467-023-39488-0;10.1038/s43246-026-01177-y
introduction	despite these advances	2	2	10.1038/s41467-026-71301-6;10.1038/s41467-026-73298-4
methods	the resulting qds	2	2	10.1038/s41467-018-04986-z;10.1038/s41467-025-57304-9
methods	during the deposition	2	2	10.1038/s41467-025-56557-8;10.1038/s43246-024-00576-3
results	in fig. 3e	2	2	10.1038/s41467-022-31853-9;10.1038/s41586-023-05855-6
methods	absolute ethanol was	2	2	10.1038/s41377-025-01835-9;10.1038/s41467-024-47891-4
results	this dual mechanism	2	2	10.1038/s41377-026-02247-z;10.1038/s41467-025-64546-0
results	to further quantify	2	2	10.1038/s41467-023-41041-y;10.1038/s41467-026-71301-6
results	this work provides	2	2	10.1038/s41467-019-13909-5;10.1038/s41467-025-63389-z
results	electrical characterization of	2	2	10.1038/s41467-019-09794-7;10.1038/s41467-024-47184-w
methods	all chemical reagents	2	2	10.1038/s41467-020-18006-6;10.1038/s41467-026-69198-2
abstract	furthermore we verify	2	2	10.1038/s41377-026-02246-0;10.1038/s41467-023-36773-w
methods	nanocrystal height was	2	1	10.1038/s41467-023-39488-0
introduction	importantly this method	2	2	10.1038/s41467-022-29538-4;10.1038/s41467-023-41041-y
results	please note that	2	1	10.1038/s41467-024-46243-6
methods	we carried out	2	2	10.1038/s41467-021-22864-z;10.1038/s42005-021-00742-w
results	the measured vout	2	1	10.1038/s41467-024-47184-w
methods	for the pvk	2	2	10.1038/s41467-022-28037-w;10.1038/s41467-023-41929-9
results	to analyse the	2	2	10.1038/s41467-021-25955-z;10.1038/s41467-024-55653-5
methods	all qleds were	2	2	10.1038/s41377-022-00855-z;10.1038/s41467-020-14756-5
results	since it is	2	2	10.1038/s41467-022-31478-y;10.1038/s41467-022-31853-9
results	at an optimal	2	2	10.1038/s41377-025-01835-9;10.1038/s41467-020-16659-x
discussion	the stability of	2	2	10.1038/s41467-018-02978-7;10.1038/s43246-026-01177-y
methods	the high-angle annular	2	2	10.1038/s41467-025-58471-5;10.1038/s41467-025-61511-9
results	we also find	2	2	10.1038/s41467-018-02978-7;10.1038/s41467-022-32010-y
results	the hole mobility	2	2	10.1038/s41467-025-63389-z;10.1038/s41467-026-73911-6
introduction	we also demonstrate	2	2	10.1038/s41467-025-65695-y;10.1038/s41928-026-01670-9
results	to enhance the	2	2	10.1038/s41467-025-62345-1;10.1038/s41467-025-64596-4
results	upon annealing in	2	1	10.1038/s41467-022-28480-9
methods	the samples for	2	2	10.1038/s41467-024-51760-5;10.1038/s41467-025-57472-8
results	it is noticed	2	2	10.1038/s41377-025-02000-y;10.1038/s41377-026-02356-9
results	figure 1a presents	2	2	10.1038/s41467-022-29812-5;10.1038/s41467-023-40194-0
methods	the red/green qdcc	2	1	10.1038/s41377-025-02000-y
results	additionally the series	2	2	10.1038/s41467-024-54160-x;10.1038/s41467-025-58047-3
introduction	for instance wang	2	2	10.1038/s41467-020-20555-9;10.1038/s41467-021-20970-6
methods	subsequently the qd	2	2	10.1038/s41467-024-52521-0;10.1038/s41467-025-59527-2
results	figure 5e shows	2	2	10.1038/s41467-019-08561-y;10.1038/s41928-024-01205-0
results	the resulting current-voltage	2	2	10.1038/s41377-024-01704-x;10.1038/s41377-026-02237-1
results	to distinguish the	2	2	10.1038/s41467-024-47891-4;10.1038/s41467-024-55619-7
results	the contact angle	2	2	10.1038/s41467-025-56001-x;10.1038/s41467-026-73911-6
results	figure 3d displays	2	2	10.1038/s41467-018-06425-5;10.1038/s41928-024-01205-0
results	although the two	2	2	10.1038/s41467-025-66981-5;10.1038/s42005-021-00742-w
results	the pout is	2	1	10.1038/s41467-025-57200-2
methods	a system consisting	2	1	10.1038/s41467-020-14756-5
methods	the synthesized qds	2	1	10.1038/s41467-024-50022-8
methods	the luminance and	2	2	10.1038/s41467-021-24616-5;10.1038/s41467-022-31478-y
results	in addition devices	2	2	10.1038/s41467-026-72115-2;10.1038/s43246-020-00084-0
methods	the pma-12 system	2	2	10.1038/s41377-024-01704-x;10.1038/s41377-026-02237-1
results	to further support	2	2	10.1038/s41467-025-56987-4;10.1038/s43246-020-00084-0
results	the estimated trap	2	2	10.1038/s41377-024-01704-x;10.1038/s41377-026-02237-1
results	apart from the	2	2	10.1038/s41467-021-21522-8;10.1038/s41467-021-24762-w
results	the activation energy	2	2	10.1038/s41467-023-36118-7;10.1038/s41928-024-01181-5
introduction	interface engineering is	2	2	10.1038/s41467-019-13437-2;10.1038/s41467-025-66421-4
methods	the initial structures	2	2	10.1038/s41467-023-36118-7;10.1038/s41467-026-71949-0
methods	the lifetime test	2	2	10.1038/s41467-018-04986-z;10.1038/s41467-020-15481-9
methods	after that niox	2	2	10.1038/s41467-024-55653-5;10.1038/s41467-026-69198-2
results	we further experimentally	2	2	10.1038/s41467-025-56068-6;10.1038/s41467-026-73298-4
introduction	meanwhile the introduction	2	2	10.1038/s41377-025-01959-y;10.1038/s43246-024-00645-7
results	an oxygen treatment	2	1	10.1038/s41467-025-58471-5
introduction	however these approaches	2	2	10.1038/s41467-019-13437-2;10.1038/s41467-021-22864-z
methods	the film surface	2	2	10.1038/s41467-020-18006-6;10.1038/s41467-026-69200-x
methods	fabrication of flexible	2	2	10.1038/s41467-024-47184-w;10.1038/s41928-026-01670-9
results	notably compared with	2	2	10.1038/s41467-023-35954-x;10.1038/s41467-025-64111-9
methods	after ~3 h	2	2	10.1038/s41467-020-16855-9;10.1038/s41467-025-56815-9
methods	it is important	2	2	10.1038/s41467-025-57200-2;10.1038/s41467-025-58471-5
results	to distinguish whether	2	2	10.1038/s41467-018-04986-z;10.1038/s41467-024-52521-0
methods	then 4.0 ml	2	2	10.1038/s41377-024-01704-x;10.1038/s41377-026-02237-1
results	furthermore as shown	2	2	10.1038/s41377-026-02231-7;10.1038/s41467-024-47891-4
results	the dark j–v	2	2	10.1038/s41467-025-64111-9;10.1038/s41467-025-64546-0
discussion	our work highlights	2	2	10.1038/s41467-021-20970-6;10.1038/s41467-026-74583-y
methods	the energy and	2	2	10.1038/s41467-021-22864-z;10.1038/s41467-023-41929-9
results	this proves that	2	2	10.1038/s41467-020-14747-6;10.1038/s41467-025-61085-6
methods	all assessments were	2	2	10.1038/s41467-025-56068-6;10.1038/s41467-025-63389-z
results	compared to h–niox	2	1	10.1038/s41467-025-64111-9
results	we then investigate	2	2	10.1038/s41467-025-58470-6;10.1038/s41467-026-68315-5
introduction	in the traditional	2	2	10.1038/s41467-024-50022-8;10.1038/s43246-026-01136-7
results	we further conducted	2	2	10.1038/s41467-024-45945-1;10.1038/s41467-025-67737-x
introduction	in addition they	2	2	10.1038/s41928-024-01151-x;alhtl_2017_cspbbr3-moo3-hil-peled
discussion	in conclusion our	2	2	10.1038/s41467-023-38216-y;qdp_2013_carrier-multiplication-qd-films
discussion	the dissociation of	2	1	qdp_2013_carrier-multiplication-qd-films
results	when the htl	2	1	10.1038/s41467-019-08749-2
results	sem characterization was	2	2	10.1038/s41467-025-67737-x;10.1038/s41467-026-71301-6
methods	the work functions	2	2	10.1038/s41467-021-21522-8;10.1038/s41467-024-46243-6
results	the wch and	2	1	10.1038/s41467-023-41868-5
results	the synthesis of	2	2	10.1038/s41467-025-56987-4;10.1038/s41467-025-57746-1
results	the maximum luminance	2	2	10.1038/s41377-022-00855-z;10.1038/s41467-021-24616-5
results	the ion/ioff ratio	2	1	10.1038/s41928-024-01205-0
methods	the measurement of	2	2	10.1038/s41467-022-29538-4;10.1038/s41467-026-69198-2
methods	the transmission electron	2	2	10.1038/s41377-026-02237-1;10.1038/s41467-024-49574-6
results	the 150 °c	2	1	10.1038/s41467-023-41868-5
results	the ameliorated buried	2	2	10.1038/s41467-025-59515-6;10.1038/s41467-026-73911-6
introduction	to overcome these	2	2	10.1038/s41467-024-47184-w;10.1038/s41467-026-73298-4
results	therefore we further	2	2	10.1038/s41377-025-01959-y;10.1038/s41467-020-17633-3
introduction	this implies that	2	2	10.1038/s41467-022-31189-4;10.1038/s41467-024-49751-7
methods	synthesis of inp	2	2	10.1038/s41467-022-35731-2;10.1038/s41467-023-39531-0
methods	high-resolution transmission electron	2	2	10.1038/s41467-022-28480-9;10.1038/s41467-026-71949-0
methods	uv-vis absorption and	2	2	10.1038/s41467-024-44894-z;10.1038/s41467-024-45944-2
methods	a monochromatic parallel	2	2	10.1038/s41467-019-08749-2;10.1038/s41467-023-35954-x
results	the molecular structure	2	2	10.1038/s41467-025-66421-4;10.1038/s41467-026-71292-4
results	the interaction energy	2	2	10.1038/s41467-020-16865-7;10.1038/s41467-025-62345-1
results	in addition although	2	2	10.1038/s41467-022-28480-9;10.1038/s41467-025-67347-7
methods	all calculations were	2	2	10.1038/s41467-025-56987-4;10.1038/s42005-023-01169-1
discussion	on the basis	2	2	10.1038/s41586-024-07149-x;qdp_2012_lifetime-blinking-nonblinking-qd
results	in the dark	2	2	10.1038/s41467-024-50893-x;10.1038/s41467-025-64596-4
methods	the wettability of	2	2	10.1038/s41467-025-56068-6;10.1038/s41467-025-63389-z
discussion	we propose that	2	2	10.1038/s41467-021-22864-z;10.1038/s41467-022-29702-w
methods	in our experiments	2	2	10.1038/s41467-020-15944-z;10.1038/s41467-025-57746-1
introduction	as an alternative	2	2	10.1038/s41377-025-02019-1;10.1038/s41467-023-40194-0
results	an example array	2	1	10.1038/s41467-023-39488-0
results	moreover as shown	2	2	10.1038/s41467-024-47184-w;qc_2015_wearable-rgb-qled-array
results	upon introduction of	2	2	10.1038/s41377-025-01817-x;10.1038/s43246-026-01136-7
results	notably the optical	2	2	10.1038/s41467-026-68315-5;10.1038/s41467-026-71949-0
results	the c–v results	2	1	10.1038/s41467-019-08749-2
methods	ttm-tpa was dissolved	2	1	10.1038/s41566-024-01458-3
results	before improvement when	2	1	10.1038/s43246-026-01177-y
methods	the electron transporting	2	1	10.1038/s41467-022-29812-5
results	since the optical	2	2	10.1038/s41467-019-08749-2;10.1038/s41467-025-64696-1
methods	for the lifetime	2	2	10.1038/s41467-019-08749-2;10.1038/s41467-023-35954-x
results	comparing the pl	2	2	10.1038/s41467-018-02978-7;10.1038/s41467-024-49838-1
results	the implemented constraint	2	1	10.1038/s41467-025-63209-4
methods	the pvk solution	2	2	10.1038/s41467-023-41929-9;10.1038/s41467-026-74583-y
results	this discrepancy may	2	2	10.1038/s41467-025-65871-0;10.1038/s41467-025-66981-5
methods	the 60 μl	2	1	10.1038/s41467-026-69198-2
results	at a lower	2	2	10.1038/s41467-021-24931-x;10.1038/s41467-025-64546-0
methods	the plqe and	2	2	10.1038/s41467-021-24616-5;10.1038/s41467-024-49574-6
methods	trpl measurements were	2	2	10.1038/s41467-024-54160-x;10.1038/s41467-026-72625-z
introduction	hot carrier cooling	2	1	10.1038/s41467-019-12558-y
results	a similar trend	2	2	10.1038/s41377-025-01959-y;10.1038/s41467-025-59515-6
results	the znse-qd device	2	1	10.1038/s41467-018-04986-z
results	figure 3b presents	2	2	10.1038/s41467-021-22864-z;10.1038/s41467-026-74151-4
results	we have shown	2	2	10.1038/s41467-021-22864-z;10.1038/s41467-023-41868-5
discussion	this is because	2	2	10.1038/s41467-023-38216-y;10.1038/s41467-024-55812-8
results	an eqe histogram	2	2	10.1038/s41467-020-20582-6;10.1038/s41467-023-36118-7
methods	we prepared 0.5	2	1	10.1038/s41467-021-25955-z
results	to eliminate the	2	2	10.1038/s41377-025-01867-1;10.1038/s41467-025-66981-5
results	herein the ssf	2	1	10.1038/s41467-025-63653-2
methods	the volume ratio	2	2	10.1038/s41467-020-14756-5;10.1038/s41467-020-18006-6
results	moreover in the	2	2	10.1038/s41377-025-01972-1;10.1038/s41467-026-72625-z
methods	before hot injection	2	2	10.1038/s41377-024-01704-x;10.1038/s41377-026-02237-1
methods	the time-resolved pl	2	2	10.1038/s41467-021-24931-x;10.1038/s41563-024-01812-4
results	the short operational	2	2	10.1038/s41467-020-14756-5;10.1038/s41467-020-20582-6
introduction	here we introduce	2	2	10.1038/s41467-023-39488-0;10.1038/s41467-024-44894-z
results	this is confirmed	2	2	10.1038/s41467-019-09737-2;10.1038/s41467-022-32010-y
results	owing to a	2	2	10.1038/s41467-024-53221-5;10.1038/s41586-023-05855-6
results	this charge transfer	2	2	10.1038/s41467-025-63389-z;10.1038/s41563-025-02123-y
results	additionally due to	2	2	10.1038/s41467-025-56557-8;10.1038/s41467-026-70555-4
methods	one part was	2	2	10.1038/s41467-019-13951-3;10.1038/s41467-026-73911-6
introduction	however the synthesis	2	2	10.1038/s41467-023-39531-0;qdp_2016_inas-qd-size-tunable-nir-emission
methods	the pipetting robot	2	1	10.1038/s41467-025-63209-4
results	as was pointed	2	1	qdp_2013_auger-control-carrier-kinetics
methods	immediately after injection	2	1	10.1038/s41467-025-63209-4
results	for both samples	2	2	10.1038/s41467-019-08749-2;qdp_2014_carrier-multiplication-quasi-type-ii
methods	the templates were	2	1	10.1038/s41467-020-16865-7
methods	classical molecular dynamics	2	2	10.1038/s41467-026-73911-6;10.1038/s41566-024-01458-3
methods	time-resolved photoluminescence trpl	2	2	10.1038/s41377-026-02237-1;10.1038/s41467-025-56557-8
abstract	organic light-emitting diodes	2	2	10.1038/s41563-024-01812-4;10.1038/s41586-024-07149-x
introduction	consequently it is	2	2	10.1038/s41467-020-17633-3;10.1038/s41928-026-01670-9
results	the conduction band	2	2	10.1038/s41377-022-00855-z;10.1038/s41467-025-58047-3
abstract	when implemented as	2	2	10.1038/s41377-025-01740-1;10.1038/s41467-024-50508-5
methods	tetramethylammonium hydroxide pentahydrate	2	2	10.1038/s41467-025-58471-5;10.1038/s43246-021-00203-5
results	the result of	2	2	10.1038/s41467-020-20433-4;10.1038/s41467-021-27652-3
results	figure 2h shows	2	2	10.1038/s41467-025-64696-1;10.1038/s41928-026-01670-9
methods	all the materials	2	2	10.1038/s41377-026-02237-1;10.1038/s41467-024-50508-5
results	the conduction and	2	2	10.1038/s41467-018-06294-y;alhtl_2017_cspbbr3-moo3-hil-peled
results	this signal is	2	2	10.1038/s41467-025-58471-5;10.1038/s41467-026-71292-4
results	the corresponding chemical	2	2	10.1038/s41467-024-55376-7;10.1038/s41467-026-72733-w
results	more importantly our	2	2	10.1038/s41467-025-57472-8;10.1038/s41467-026-75756-5
results	the corresponding evolution	2	1	10.1038/s41467-026-72625-z
results	figure 2a b	2	2	10.1038/s41377-024-01500-7;10.1038/s41467-024-49791-z
results	the ftir spectra	2	2	10.1038/s41377-026-02247-z;10.1038/s43246-026-01136-7
methods	electrical measurements were	2	2	10.1038/s41467-023-39488-0;10.1038/s41467-026-69200-x
results	for comparison a	2	2	10.1038/s41467-023-43472-z;10.1038/s41467-026-71949-0
methods	optical absorption and	2	1	10.1038/s41586-023-05855-6
methods	perovskite precursor solution	2	2	10.1038/s41467-025-56001-x;10.1038/s41928-024-01151-x
results	however the emission	2	2	10.1038/s41467-019-12558-y;10.1038/s41467-024-50508-5
results	instead it is	2	2	10.1038/s41467-018-06294-y;10.1038/s41563-025-02123-y
results	such an increase	2	2	10.1038/s41467-025-65695-y;10.1038/s41563-025-02123-y
methods	the plqys were	2	2	10.1038/s41467-020-20555-9;10.1038/s41467-023-36118-7
methods	zinc acetate zn(ac)₂	2	2	10.1038/s41377-024-01727-4;10.1038/s41467-024-49791-z
results	it was observed	2	1	10.1038/s43246-026-01136-7
methods	steady-state pl and	2	2	10.1038/s41377-025-01987-8;10.1038/s41467-019-13437-2
results	more direct evidence	2	2	10.1038/s41467-018-07383-8;10.1038/s41467-021-22864-z
methods	the emitted optical	2	2	10.1038/s41467-026-74151-4;10.1038/s41467-026-75756-5
introduction	the experimental results	2	2	10.1038/s41467-022-31853-9;10.1038/s41467-023-36773-w
methods	samples were prepared	2	2	10.1038/s41467-020-16855-9;10.1038/s41467-023-39531-0
results	in addition according	2	2	10.1038/s41467-023-40746-4;10.1038/s41467-025-64111-9
results	this enhanced structural	2	2	10.1038/s41467-026-71949-0;10.1038/s41467-026-72733-w
introduction	the response time	2	1	10.1038/s41928-024-01181-5
methods	finally the samples	2	1	10.1038/s41377-025-01835-9
results	furthermore by using	2	2	10.1038/s41377-026-02231-7;10.1038/s41467-025-56815-9
results	the sdc nio-based	2	1	10.1038/s43246-024-00645-7
discussion	this robustness is	2	2	10.1038/s41467-023-40194-0;10.1038/s41467-024-46243-6
results	the capacitance value	2	2	10.1038/s41377-022-01036-8;10.1038/s41377-024-01727-4
results	the ph-nd-based device	2	1	10.1038/s41467-026-71301-6
results	the trap-filled limit	2	2	10.1038/s41467-019-13437-2;10.1038/s41467-025-63684-9
methods	the measurements of	2	2	10.1038/s41467-020-16652-4;10.1038/s41467-026-73911-6
methods	synthesis of inp/znse/zns	2	2	10.1038/s41467-021-25955-z;10.1038/s41467-023-39531-0
methods	the value of	2	2	10.1038/s41467-026-69200-x;10.1038/s41586-023-05855-6
results	the ase threshold	2	2	10.1038/s41377-025-01972-1;10.1038/s41467-025-56557-8
results	from sem images	2	1	10.1038/s41467-025-63389-z
methods	spiro-ometad was purchased	2	2	10.1038/s41467-018-07099-9;10.1038/s41467-019-13437-2
introduction	by reducing the	2	2	10.1038/s41467-018-05909-8;10.1038/s41467-024-52521-0
results	we then perform	2	2	10.1038/s41467-021-24762-w;10.1038/s41467-025-61085-6
methods	the height between	2	2	10.1038/s41467-025-64111-9;10.1038/s43246-024-00645-7
methods	for the blue	2	2	10.1038/s41467-023-41929-9;10.1038/s41928-024-01151-x
results	the atomic lattice	2	1	10.1038/s41467-023-38216-y
discussion	we achieved a	2	2	10.1038/s41467-019-09794-7;10.1038/s41467-021-21522-8
results	when fixing the	2	2	10.1038/s41377-022-01036-8;10.1038/s41467-025-56815-9
results	in our case	2	2	10.1038/s41467-024-53221-5;10.1038/s41467-025-58047-3
results	the xrd pattern	2	2	10.1038/s41467-020-16855-9;10.1038/s41467-026-70555-4
methods	these solutions were	2	2	10.1038/s41467-018-05760-x;10.1038/s41586-023-05855-6
results	s14 and s15	2	2	10.1038/s41377-024-01601-3;10.1038/s41377-026-02246-0
methods	for sealing the	2	2	10.1038/s41467-025-56068-6;10.1038/s41467-025-63389-z
methods	here an is	2	1	10.1038/s41467-022-31853-9
results	s4 and table	2	2	10.1038/s41377-025-01817-x;10.1038/s41467-024-55376-7
methods	uv patterning i-line	2	1	10.1038/s41377-025-02000-y
results	the operation lifetime	2	2	10.1038/s41467-018-04986-z;10.1038/s41467-024-54160-x
methods	the plqys of	2	2	10.1038/s41377-025-01768-3;10.1038/s41467-023-41929-9
results	for simplicity the	2	2	10.1038/s41467-024-55376-7;10.1038/s41467-025-66421-4
results	from supplementary fig.	2	2	10.1038/s41467-025-63389-z;10.1038/s41467-026-73911-6
methods	ito-coated glasses were	2	2	10.1038/s41377-025-01817-x;10.1038/s41467-020-14747-6
methods	the ta spectra	2	2	10.1038/s41467-024-50508-5;10.1038/s41467-026-68315-5
methods	the helium pressure	2	2	10.1038/s41467-018-02978-7;alhtl_2017_cspbbr3-moo3-hil-peled
methods	the zno nanoparticles	2	2	10.1038/s41467-023-43340-w;alhtl_2017_cspbbr3-moo3-hil-peled
results	in the pristine	2	2	10.1038/s41467-026-69198-2;10.1038/s41467-026-71949-0
methods	after deposition the	2	2	10.1038/s41467-022-29702-w;10.1038/s41467-024-50893-x
results	the current density–voltage–luminance	2	2	10.1038/s41467-018-06425-5;10.1038/s41467-021-27652-3
results	where n is	2	2	10.1038/s41467-020-20555-9;10.1038/s41467-025-63684-9
results	this observation contrasts	2	2	10.1038/s41467-018-07383-8;10.1038/s41467-023-43472-z
results	by comparing the	2	2	10.1038/s41467-024-55376-7;10.1038/s41563-025-02123-y
results	although the turn-on	2	2	10.1038/s41467-025-59527-2;alhtl_2017_cspbbr3-moo3-hil-peled
results	here it should	2	2	10.1038/s41377-026-02356-9;10.1038/s41467-023-36773-w
methods	to prepare a	2	2	10.1038/s41467-023-43340-w;10.1038/s41467-024-50893-x
methods	for the red-emitting	2	2	10.1038/s41467-025-58471-5;10.1038/s41467-025-63653-2
results	our previous work	2	2	10.1038/s41467-019-08561-y;10.1038/s41467-025-65135-x
results	both el spectra	2	2	10.1038/s41377-022-00992-5;10.1038/s41467-018-04986-z
methods	the solar cell	2	2	10.1038/s41467-025-59515-6;10.1038/s41928-024-01151-x
methods	x-ray diffraction patterns	2	2	10.1038/s41467-020-20582-6;10.1038/s41467-025-64696-1
introduction	the performance of	2	2	10.1038/s41467-025-63209-4;10.1038/s41467-026-75756-5
methods	then 300-nm-thick sio2	2	1	10.1038/s41467-025-60886-z
results	figure 1a schematically	2	2	10.1038/s41467-019-08561-y;10.1038/s41467-021-24762-w
methods	the values for	2	2	10.1038/s41467-025-56987-4;10.1038/s41467-026-73911-6
introduction	moreover the devices	2	2	10.1038/s41467-026-71292-4;10.1038/s41467-026-72625-z
methods	liquid nitrogen is	2	2	10.1038/s41377-025-01972-1;10.1038/s41467-022-28037-w
results	the corresponding emission	2	2	10.1038/s41467-020-16659-x;10.1038/s41467-025-56987-4
results	the energy difference	2	2	10.1038/s41467-019-13951-3;10.1038/s41467-024-50508-5
results	we verify the	2	2	10.1038/s41467-019-12558-y;10.1038/s41467-025-64596-4
results	all h nmr	2	2	10.1038/s41467-024-49751-7;10.1038/s41467-024-50634-0
methods	the scan rate	2	2	10.1038/s41467-018-07099-9;10.1038/s41467-019-13437-2
methods	templates were imaged	2	1	10.1038/s41467-023-39488-0
methods	then the film	2	2	10.1038/s41377-025-01768-3;10.1038/s41377-025-01959-y
abstract	this study demonstrates	2	2	10.1038/s41467-026-74151-4;10.1038/s43246-024-00576-3
results	both devices exhibited	2	2	10.1038/s41467-025-65871-0;10.1038/s41467-026-71301-6
results	the average eqe	2	2	10.1038/s41377-025-02000-y;10.1038/s41467-025-57304-9
methods	emission spectra were	2	2	10.1038/s41467-017-01379-6;10.1038/s41467-024-45944-2
introduction	however the efficiency	2	2	10.1038/s41377-025-01959-y;10.1038/s41467-025-58470-6
results	the qleds based	2	2	10.1038/s41377-022-00855-z;10.1038/s41467-025-57304-9
results	the devices exhibit	2	2	10.1038/s41467-021-24616-5;10.1038/s41467-023-36118-7
discussion	the 1.55 ev	2	1	10.1038/s41467-026-73911-6
results	the electron spectral	2	1	10.1038/s42005-021-00742-w
methods	owing to the	2	2	10.1038/s41467-023-41929-9;10.1038/s41928-024-01181-5
results	afm images further	2	2	10.1038/s41467-024-54160-x;10.1038/s41467-026-72115-2
results	together with the	2	2	10.1038/s41467-022-31853-9;10.1038/s41467-025-57472-8
results	the devices were	2	2	10.1038/s41467-020-16652-4;10.1038/s41467-024-49751-7
results	figure 4g h	2	2	10.1038/s41467-020-20433-4;10.1038/s43246-026-01136-7
results	the device characteristics	2	2	10.1038/s41467-023-36118-7;10.1038/s41566-024-01458-3
methods	the peak position	2	1	10.1038/s41467-024-53221-5
methods	we denote the	2	1	qdp_2012_lifetime-blinking-nonblinking-qd
results	similarly for the	2	2	10.1038/s41467-020-16659-x;10.1038/s41467-022-31478-y
results	we incorporated the	2	2	10.1038/s41377-025-01987-8;10.1038/s41467-024-52401-7
introduction	in light of	2	2	10.1038/s41377-022-00855-z;10.1038/s43246-021-00203-5
abstract	our results demonstrate	2	2	10.1038/s41467-018-06425-5;10.1038/s41467-025-66981-5
abstract	metal halide perovskites	2	2	10.1038/s41467-023-40150-y;10.1038/s41467-026-74583-y
results	the control perovskites	2	1	10.1038/s41467-026-71292-4
introduction	semiconductor quantum dots	2	2	10.1038/s41467-021-24931-x;10.1038/s42005-023-01169-1
results	the pl qys	2	2	10.1038/s41467-022-35731-2;10.1038/s41467-025-63653-2
methods	the etching rate	2	2	10.1038/s41467-023-43472-z;10.1038/s41467-024-52208-6
results	accordingly we can	2	2	10.1038/s41467-019-09794-7;10.1038/s41467-024-52401-7
abstract	the integration of	2	2	10.1038/s41377-026-02184-x;10.1038/s41467-025-56815-9
results	these defects act	2	2	10.1038/s41467-026-72625-z;10.1038/s41467-026-74198-3
results	a detailed discussion	2	2	10.1038/s41467-023-39488-0;10.1038/s41467-025-57200-2
methods	l is the	2	2	10.1038/s41377-025-01835-9;10.1038/s41467-026-73911-6
introduction	the surface morphology	2	2	10.1038/s41377-024-01601-3;10.1038/s41467-021-24931-x
results	the statistical analysis	2	2	10.1038/s41467-022-29812-5;10.1038/s41467-026-71301-6
discussion	the observation of	2	1	10.1038/s41467-023-38216-y
methods	the overall reaction	2	2	10.1038/s41467-022-31189-4;10.1038/s41467-022-35731-2
introduction	compared with conventional	2	2	10.1038/s41377-026-02246-0;10.1038/s41928-024-01181-5
methods	the theoretical calculations	2	2	10.1038/s41467-026-69198-2;10.1038/s41467-026-72733-w
results	figure 3g shows	2	2	10.1038/s41928-024-01205-0;10.1038/s41928-026-01670-9
results	i. generation rate	2	1	10.1038/s41467-023-40194-0
